Clone745,2,0.04986017
Clone745,1,0.0498144
Clone745,7,0.04974499
Clone745,5,0.04944184
Clone745,6,0.04939807
Clone745,9,0.04929627
Clone745,3,0.04924698
Clone745,8,0.04923418
Clone745,10,0.04923387
Clone745,4,0.04906815
Clone973,5,0.15990996
Clone973,4,0.14335814
Clone973,2,0.0746056
Clone973,3,0.06311756
Clone973,1,0.02767882
Clone966,1,0.07804014
Clone966,2,0.0755144
Clone966,5,0.02514723
Clone966,3,0.02368754
Clone966,4,0.01457668
Clone966,6,0.00173419
Clone798,2,0.06879178
Clone798,1,0.06503285
Clone798,3,0.06044696
Clone798,4,0.06042612
Clone798,8,0.05633798
Clone798,5,0.05557926
Clone798,6,0.05166334
Clone798,7,0.05066591
Clone583,6,0.07740244
Clone583,7,0.07420517
Clone583,5,0.07054629
Clone583,1,0.06725031
Clone583,3,0.05939744
Clone583,2,0.05895499
Clone583,4,0.05671226
Clone788,1,0.07069315
Clone788,2,0.06732582
Clone788,3,0.06621589
Clone788,5,0.06179442
Clone788,4,0.0589399
Clone788,8,0.05265829
Clone788,7,0.05249816
Clone788,6,0.04727788
Clone656,1,0.12438281
Clone656,4,0.10889805
Clone656,2,0.06842394
Clone656,3,0.05777861
Clone656,5,-0.07683449
Clone571,4,0.15496694
Clone571,5,0.14220892
Clone571,2,0.05743863
Clone571,1,0.05394162
Clone571,3,0.05285011
Clone393,2,0.07088716
Clone393,1,0.06422197
Clone393,4,0.06372216
Clone393,3,0.06342052
Clone393,5,0.05712196
Clone393,7,0.05595828
Clone393,8,0.05099955
Clone393,6,0.04311917
Clone865,5,0.12989458
Clone865,4,0.11884765
Clone865,3,0.06292931
Clone865,1,0.0621386
Clone865,2,0.05081896
Clone671,6,0.05603698
Clone671,8,0.05431816
Clone671,2,0.05413674
Clone671,1,0.05409148
Clone671,9,0.05370272
Clone671,4,0.05230536
Clone671,7,0.05230452
Clone671,3,0.05223057
Clone671,5,0.04511317
Clone161,5,0.08743796
Clone161,7,0.06082775
Clone161,6,0.05833361
Clone161,4,0.04979626
Clone161,1,0.03438873
Clone161,2,0.03415283
Clone161,3,0.02921631
